"date","week","ccLabel","day_count","lTemp","sdPos","tank","trt","water","ind","log.sdPos","log.lTemp","day_number","log.day_number"
"11/19/2019","week4","tank3_heating_yes_White","D20",29.1105555633333,3.36154726279432,"tank3","heating","yes","White",1.21240136285915,3.37110084254049,20,2.99573227355399
"11/19/2019","week4","tank3_heating_no_White","D20",34.34311034,3.46410161513775,"tank3","heating","no","White",1.242453324894,3.53640142620751,20,2.99573227355399
"11/19/2019","week4","tank2_control_yes_White","D20",20.2023734166667,1.09544511501033,"tank2","control","yes","White",0.0911607783969772,3.00580009337965,20,2.99573227355399
"11/19/2019","week4","tank2_control_no_White","D20",20.7909438866667,1.14017542509914,"tank2","control","no","White",0.131182132233746,3.0345175018334,20,2.99573227355399
"11/19/2019","week4","tank1_control_yes_White","D20",19.7007633433333,1.51657508881031,"tank1","control","yes","White",0.416454561467552,2.9806573833858,20,2.99573227355399
"11/19/2019","week4","tank1_control_no_White","D20",19.4018525566667,1.22474487139159,"tank1","control","no","White",0.202732554054082,2.96536855412184,20,2.99573227355399
"11/22/2019","week5","tank4_heating_yes_Red","D21",28.7912291833333,7.09224929059886,"tank4","heating","yes","Red",1.95900253855285,3.36007079851412,21,3.04452243772342
"11/22/2019","week5","tank3_heating_no_Red","D21",33.0879895366667,2.19089023002066,"tank3","heating","no","Red",0.784307958956923,3.49917036265848,21,3.04452243772342
"11/23/2019","week5","tank4_heating_yes_Red","D22",29.2709424466667,6.76017751246223,"tank4","heating","yes","Red",1.91104914895008,3.37659529856831,22,3.09104245335832
"11/23/2019","week5","tank3_heating_no_Red","D22",27.9650474933333,2.19089023002066,"tank3","heating","no","Red",0.784307958956923,3.33095542658548,22,3.09104245335832
"11/23/2019","week5","tank2_control_yes_Red","D22",23.2672740733333,1.92353840616713,"tank2","control","yes","Red",0.65416640982509,3.14704782706318,22,3.09104245335832
"11/23/2019","week5","tank2_control_no_Red","D22",23.6033546866667,1.34164078649987,"tank2","control","no","Red",0.29389333245106,3.16138884966964,22,3.09104245335832
"11/23/2019","week5","tank1_control_no_Red","D22",22.3546459366667,1.09544511501033,"tank1","control","no","Red",0.0911607783969772,3.10703417134386,22,3.09104245335832
"11/24/2019","week5","tank4_heating_yes_Red","D23",29.1711363333333,1.22474487139159,"tank4","heating","yes","Red",0.202732554054082,3.37317973866882,23,3.13549421592915
"11/24/2019","week5","tank3_heating_no_Red","D23",34.05174301,1.87082869338697,"tank3","heating","no","Red",0.626381484247684,3.52788122100637,23,3.13549421592915
"11/24/2019","week5","tank2_control_yes_Red","D23",23.57506008,4.12310562561766,"tank2","control","yes","Red",1.41660667202811,3.16018937697863,23,3.13549421592915
"11/25/2019","week5","tank3_heating_yes_Red","D24",30.59905121,1.94935886896179,"tank3","heating","yes","Red",0.66750053336617,3.42096900226848,24,3.17805383034795
"11/25/2019","week5","tank3_heating_no_Red","D24",33.91726578,6.09918027279076,"tank3","heating","no","Red",1.80815438063955,3.52392419977377,24,3.17805383034795
"11/25/2019","week5","tank1_control_yes_Red","D24",23.1658870533333,1.51657508881031,"tank1","control","yes","Red",0.416454561467552,3.14268081096228,24,3.17805383034795
"11/26/2019","week5","tank4_heating_yes_Red","D25",30.2593449433333,2.23606797749979,"tank4","heating","yes","Red",0.80471895621705,3.40980506051629,25,3.2188758248682
"11/26/2019","week5","tank3_heating_yes_Red","D25",30.3231662433333,2.40831891575846,"tank3","heating","yes","Red",0.878928958776187,3.41191198287257,25,3.2188758248682
"11/26/2019","week5","tank3_heating_no_Red","D25",33.2416777966667,8.20365772079747,"tank3","heating","no","Red",2.10458011832534,3.50380444394406,25,3.2188758248682
"11/26/2019","week5","tank2_control_yes_Red","D25",23.5912593433333,1.78885438199983,"tank2","control","yes","Red",0.58157540490284,3.16087627662093,25,3.2188758248682
